Id,Scenario Name,File Home,Merge Fixes,Parameter File,Time Limit,Num Vehicles,AC0 Flightplan,AC1 Flightplan,AC2 Flightplan,AC0 Param:DEF_WP_SPEED,AC1 Param:DEF_WP_SPEED,AC2 Param:DEF_WP_SPEED,Param:AL_1_ALERT_T
1,spacing1,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3,3,NA,0
2,spacing2,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3,3,NA,0
3,spacing3,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3,3,NA,0
4,spacing4,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3,3,NA,0
5,spacing5,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3,3,NA,2
6,spacing6,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3,3,NA,2
7,spacing7,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3,3,NA,2
8,spacing8,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3,3,NA,2
9,spacing9,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3,3,NA,5
10,spacing10,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3,3,NA,5
11,spacing11,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3,3,NA,5
12,spacing12,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3,3,NA,5
13,spacing13,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,0
14,spacing14,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,0
15,spacing15,Python/TestRunner/tcl4+/spacing_scenario,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,0
