-1.69109392166138,24.3142929077148,-0.326116502285004	1.77604651451111,24.512996673584,1.83944654464722	0.230795979499817,18.5740566253662,4.8583779335022	-3.23634433746338,18.3753528594971,2.69281530380249	0.378946185112,22.1900577545166,-3.44542050361633	3.8460865020752,22.3887615203857,-1.27985763549805	2.30083608627319,16.449821472168,1.73907399177551	-1.16630434989929,16.2511177062988,-0.426489055156708
-1.69109392166138,24.3142929077148,-0.326116502285004	1.77604651451111,24.512996673584,1.83944654464722	0.230795979499817,18.5740566253662,4.8583779335022	-3.23634433746338,18.3753528594971,2.69281530380249	0.378946185112,22.1900577545166,-3.44542050361633	3.8460865020752,22.3887615203857,-1.27985763549805	2.30083608627319,16.449821472168,1.73907399177551	-1.16630434989929,16.2511177062988,-0.426489055156708
6.74708461761475,24.8480129241943,11.4939041137695	3.24840927124023,24.5749855041504,15.0337009429932	8.51430797576904,23.3259563446045,20.1420879364014	12.0129833221436,23.5989837646484,16.6022911071777	7.19573402404785,30.2606678009033,12.3548450469971	3.69705867767334,29.9876403808594,15.8946418762207	8.96295738220215,28.7386112213135,21.0030288696289	12.4616327285767,29.0116386413574,17.4632320404053
8.94808006286621,23.5093193054199,13.1526517868042	9.54239177703857,23.4810981750488,17.2527008056641	9.37362670898438,28.5575008392334,17.312105178833	8.77931499481201,28.5857219696045,13.2120561599731	4.83179378509521,23.3655033111572,13.7483263015747	5.42610502243042,23.3372821807861,17.8483753204346	5.25734043121338,28.4136848449707,17.9077796936035	4.66302871704102,28.4419059753418,13.807731628418
12.5789699554443,26.2924251556396,17.887659072876	9.23636817932129,25.6821689605713,21.0177707672119	5.02549839019775,28.5250625610352,17.0753021240234	8.36810111999512,29.1353187561035,13.9451904296875	11.4576063156128,21.7399520874023,15.8026008605957	8.11500358581543,21.129695892334,18.9327125549316	3.90413427352905,23.9725894927979,14.9902439117432	7.24673652648926,24.5828456878662,11.8601322174072
6.39877367019653,30.9671268463135,17.1964569091797	4.53621912002563,27.5722999572754,15.0785493850708	14.6386222839355,26.7504062652588,7.51160478591919	16.5011768341064,30.1452331542969,9.6295108795166	8.81754875183105,27.3825931549072,20.8150291442871	6.95499467849731,23.9877662658691,18.6971225738525	17.0573978424072,23.1658725738525,11.1301774978638	18.9199523925781,26.5606994628906,13.2480840682983
6.90751361846924,30.1916370391846,14.769341468811	8.66462421417236,28.1355781555176,17.8227157592773	6.79612445831299,23.0347461700439,15.4632110595703	5.03901290893555,25.0908050537109,12.4098377227783	10.4418134689331,29.9218349456787,12.5537815093994	12.1989250183105,27.8657760620117,15.6071548461914	10.3304243087769,22.7649440765381,13.2476511001587	8.57331371307373,24.8210029602051,10.1942768096924
7.6962742805481,28.9838218688965,19.3397388458252	10.5794582366943,28.7236328125,15.855598449707	13.1746377944946,24.1917686462402,18.3415832519531	10.2914543151855,24.4519577026367,21.8257255554199	4.50367450714111,25.8353042602539,16.9329376220703	7.3868579864502,25.5751152038574,13.4487962722778	9.98203754425049,21.0432510375977,15.9347820281982	7.09885454177856,21.3034400939941,19.4189224243164
9.23856353759766,27.7709503173828,11.1823797225952	11.4624576568604,25.6728229522705,13.9225807189941	7.52337646484375,15.7456893920898,9.51841926574707	5.29948234558105,17.8438167572021,6.77821826934814	12.4631996154785,27.682544708252,8.49753189086914	14.6870937347412,25.5844173431396,11.2377328872681	10.7480125427246,15.6572847366333,6.833571434021	8.52411842346191,17.7554111480713,4.09337043762207
19.6424961090088,25.6209163665771,13.5276584625244	17.6592807769775,20.2138614654541,11.1272392272949	7.80397510528564,20.3396797180176,18.9862384796143	9.78718948364258,25.7467346191406,21.3866577148438	16.2819633483887,28.7465515136719,9.26345825195312	14.2987480163574,23.3394966125488,6.86303853988647	4.44344139099121,23.4653148651123,14.722038269043	6.42665672302246,28.8723697662354,17.1224575042725
9.15745449066162,24.3838005065918,14.6865558624268	6.15778064727783,24.0955429077148,17.8285827636719	9.82656002044678,24.2100925445557,21.3416519165039	12.8262329101562,24.4983501434326,18.1996250152588	8.869215965271,29.0175228118896,14.8364791870117	5.86954259872437,28.7292652130127,17.9785060882568	9.53832149505615,28.8438148498535,21.4915752410889	12.5379953384399,29.1320724487305,18.3495483398438
9.36392211914062,28.7376976013184,20.1099185943604	5.90415000915527,28.8897380828857,16.5137634277344	14.6416244506836,30.2576541900635,8.16548824310303	18.1013965606689,30.1056137084961,11.7616443634033	9.72237777709961,22.8154163360596,19.5146827697754	6.26260566711426,22.967456817627,15.9185256958008	15.0000801086426,24.3353729248047,7.57025146484375	18.4598522186279,24.1833324432373,11.166407585144
9.92928123474121,28.3754959106445,21.7413234710693	13.0151519775391,28.2765445709229,18.8726387023926	12.3273773193359,22.6607780456543,18.3265018463135	9.24150657653809,22.759729385376,21.1951866149902	7.10421180725098,29.0191917419434,18.6801166534424	10.1900825500488,28.9202404022217,15.8114318847656	9.5023078918457,23.3044738769531,15.2652950286865	6.41643714904785,23.4034252166748,18.1339797973633
6.14729309082031,27.3110809326172,13.1082344055176	8.47054195404053,30.8155765533447,11.5914516448975	14.4161968231201,29.5206909179688,17.7065773010254	12.0929479598999,26.0161933898926,19.2233581542969	8.49924087524414,24.5049705505371,10.2272682189941	10.8224897384644,28.0094680786133,8.71048736572266	16.7681446075439,26.7145805358887,14.825611114502	14.4448957443237,23.2100849151611,16.3423938751221
12.8077030181885,37.9040222167969,14.2555713653564	8.7413501739502,37.8548812866211,12.7009544372559	8.86979389190674,25.1317577362061,12.767147064209	12.9361457824707,25.1808967590332,14.3217620849609	11.2278432846069,37.9095687866211,18.3877754211426	7.16149187088013,37.8604316711426,16.8331604003906	7.28993463516235,25.1373062133789,16.8993511199951	11.3562870025635,25.1864452362061,18.4539680480957
7.02998924255371,25.161096572876,15.4832611083984	10.1870698928833,25.2182445526123,18.6194705963135	10.0770492553711,16.6986675262451,18.8854675292969	6.9199686050415,16.6415195465088,15.7492580413818	10.2883834838867,25.0166912078857,12.2058153152466	13.4454641342163,25.0738391876221,15.3420238494873	13.3354434967041,16.5542621612549,15.6080207824707	10.1783628463745,16.4971141815186,12.47181224823
10.2539281845093,23.4672012329102,9.33269500732422	7.06546592712402,23.4169425964355,12.2530193328857	10.6179504394531,22.4631290435791,16.1152667999268	13.8064126968384,22.5133857727051,13.1949434280396	10.823205947876,28.4516353607178,10.0400228500366	7.63474369049072,28.4013786315918,12.9603471755981	11.1872282028198,27.4475631713867,16.8225955963135	14.3756904602051,27.4978218078613,13.902271270752
7.76353168487549,24.1444358825684,12.5034027099609	10.6850538253784,22.1320190429688,15.9988269805908	17.1325778961182,21.8691310882568,10.458550453186	14.2110557556152,23.8815479278564,6.96312570571899	9.34517765045166,29.2193927764893,14.1032419204712	12.2666988372803,27.2069759368896,17.5986671447754	18.7142219543457,26.9440879821777,12.0583896636963	15.7927007675171,28.9565048217773,8.56296539306641
14.8859491348267,22.0682830810547,16.7715759277344	15.1062307357788,23.7897853851318,20.4477615356445	12.9028072357178,29.3642864227295,17.9693374633789	12.6825265884399,27.6427822113037,14.2931518554688	11.0573120117188,20.9000072479248,17.5476989746094	11.2775926589966,22.6215114593506,21.2238845825195	9.07417011260986,28.1960105895996,18.7454605102539	8.85388851165771,26.4745082855225,15.0692749023438
11.8393087387085,27.2981510162354,8.35870361328125	14.4851093292236,25.2412147521973,10.5688486099243	16.3392734527588,29.9504299163818,12.7319717407227	13.6934728622437,32.0073699951172,10.5218257904053	9.13173675537109,27.0018520355225,11.3246116638184	11.7775373458862,24.9449138641357,13.5347576141357	13.6317014694214,29.6541309356689,15.6978797912598	10.9859008789062,31.711067199707,13.4877347946167
9.99441432952881,16.8901405334473,12.0601644515991	13.857232093811,17.1424102783203,9.15926742553711	13.2676248550415,25.8327178955078,9.12988471984863	9.40480804443359,25.5804462432861,12.030782699585	12.9405298233032,17.1033477783203,16.0017375946045	16.8033466339111,17.355619430542,13.1008396148682	16.2137393951416,26.0459251403809,13.071457862854	12.3509225845337,25.7936553955078,15.972354888916
