61.00390625,242.542007446289,157.316131591797	61.00390625,238.005996704102,157.316131591797	-1.90810966491699,238.005996704102,156.858383178711	-1.90810966491699,242.542007446289,156.858383178711	61.0377655029297,242.542007446289,152.662643432617	61.0377655029297,238.005996704102,152.662643432617	-1.8742504119873,238.005996704102,152.204895019531	-1.8742504119873,242.542007446289,152.204895019531
61.00390625,242.542007446289,157.316131591797	61.00390625,238.005996704102,157.316131591797	-1.90810966491699,238.005996704102,156.858383178711	-1.90810966491699,242.542007446289,156.858383178711	61.0377655029297,242.542007446289,152.662643432617	61.0377655029297,238.005996704102,152.662643432617	-1.8742504119873,238.005996704102,152.204895019531	-1.8742504119873,242.542007446289,152.204895019531
10.4692993164062,242.539001464844,176.681411743164	10.4692993164062,237.998992919922,176.681411743164	-1.9066481590271,237.998992919922,176.562789916992	-1.9066481590271,242.539001464844,176.562789916992	10.5119400024414,242.539001464844,172.232986450195	10.5119400024414,237.998992919922,172.232986450195	-1.86400842666626,237.998992919922,172.114364624023	-1.86400842666626,242.539001464844,172.114364624023
6.92623519897461,229.792007446289,219.946060180664	6.92623519897461,225.703994750977,219.946060180664	-1.78840041160583,225.703994750977,219.913635253906	-1.78840041160583,229.792007446289,219.913635253906	6.94185829162598,229.792007446289,215.747589111328	6.94185829162598,225.703994750977,215.747589111328	-1.77277731895447,225.703994750977,215.71516418457	-1.77277731895447,229.792007446289,215.71516418457
20.8974018096924,242.524017333984,184.295288085938	20.8974018096924,238.102996826172,184.295288085938	-1.77934455871582,238.102996826172,184.152984619141	-1.77934455871582,242.524017333984,184.152984619141	20.9247932434082,242.524017333984,179.930053710938	20.9247932434082,238.102996826172,179.930053710938	-1.751953125,238.102996826172,179.787750244141	-1.751953125,242.524017333984,179.787750244141
4.11044454574585,226.307998657227,190.693649291992	4.11044454574585,222.25700378418,190.693649291992	-1.80074679851532,222.25700378418,190.525924682617	-1.80074679851532,226.307998657227,190.525924682617	4.22632026672363,226.307998657227,186.609786987305	4.22632026672363,222.25700378418,186.609786987305	-1.68487107753754,222.25700378418,186.44206237793	-1.68487107753754,226.307998657227,186.44206237793
4.75835609436035,225.669998168945,250.55126953125	4.75835609436035,229.764999389648,250.55126953125	-1.76222085952759,229.764999389648,250.604461669922	-1.76222085952759,225.669998168945,250.604461669922	4.79260969161987,225.669998168945,254.749786376953	4.79260969161987,229.764999389648,254.749786376953	-1.72796726226807,229.764999389648,254.802978515625	-1.72796726226807,225.669998168945,254.802978515625
19.6946697235107,242.533020019531,306.1806640625	19.6946697235107,238.111999511719,306.1806640625	-1.74234008789062,238.111999511719,305.86474609375	-1.74234008789062,242.533020019531,305.86474609375	19.7586650848389,242.533020019531,301.838073730469	19.7586650848389,238.111999511719,301.838073730469	-1.6783447265625,238.111999511719,301.522155761719	-1.6783447265625,242.533020019531,301.522155761719
30.9238967895508,242.47200012207,230.325393676758	30.9238967895508,238.09700012207,230.325393676758	-1.70480346679688,238.09700012207,229.913772583008	-1.70480346679688,242.47200012207,229.913772583008	30.9818878173828,242.47200012207,225.72868347168	30.9818878173828,238.09700012207,225.72868347168	-1.64681243896484,238.09700012207,225.31706237793	-1.64681243896484,242.47200012207,225.31706237793
9.21932315826416,242.544982910156,298.30078125	9.21932315826416,238.195007324219,298.30078125	-1.33353042602539,238.195007324219,298.282104492188	-1.33353042602539,242.544982910156,298.282104492188	9.22688674926758,242.544982910156,294.022521972656	9.22688674926758,238.195007324219,294.022521972656	-1.32596683502197,238.195007324219,294.003845214844	-1.32596683502197,242.544982910156,294.003845214844
2.82772493362427,242.167007446289,301.201171875	2.82772493362427,221.641006469727,301.201171875	3.50608325004578,221.641006469727,305.638885498047	3.50608325004578,242.167007446289,305.638885498047	-1.47040486335754,242.167007446289,301.858184814453	-1.47040486335754,221.641006469727,301.858184814453	-0.792046666145325,221.641006469727,306.2958984375	-0.792046666145325,242.167007446289,306.2958984375
2.65873384475708,242.261993408203,293.334411621094	2.65873384475708,221.649993896484,293.334411621094	3.93286657333374,221.649993896484,297.660888671875	3.93286657333374,242.261993408203,297.660888671875	-1.62904512882233,242.261993408203,294.59716796875	-1.62904512882233,221.649993896484,294.59716796875	-0.354912400245667,221.649993896484,298.923645019531	-0.354912400245667,242.261993408203,298.923645019531
2.86243748664856,221.643997192383,230.507797241211	2.86243748664856,232.86799621582,230.507797241211	4.65648317337036,232.86799621582,226.523330688477	4.65648317337036,221.643997192383,226.523330688477	-1.10175228118896,221.643997192383,228.722885131836	-1.10175228118896,232.86799621582,228.722885131836	0.692293405532837,232.86799621582,224.738418579102	0.692293405532837,221.643997192383,224.738418579102
3.50406312942505,241.822998046875,225.021102905273	3.50406312942505,223.054992675781,225.021102905273	4.30222320556641,223.054992675781,229.433898925781	4.30222320556641,241.822998046875,229.433898925781	-0.726832151412964,241.822998046875,225.786376953125	-0.726832151412964,223.054992675781,225.786376953125	0.0713280439376831,223.054992675781,230.199172973633	0.0713280439376831,241.822998046875,230.199172973633
4.17342090606689,221.640991210938,176.862640380859	4.17342090606689,237.106994628906,176.862640380859	4.8723611831665,237.106994628906,172.439102172852	4.8723611831665,221.640991210938,172.439102172852	-0.375028848648071,221.640991210938,176.143966674805	-0.375028848648071,237.106994628906,176.143966674805	0.323911070823669,237.106994628906,171.720428466797	0.323911070823669,221.640991210938,171.720428466797
3.83065176010132,221.705017089844,184.675201416016	3.83065176010132,241.843994140625,184.675201416016	4.94808959960938,241.843994140625,180.352996826172	4.94808959960938,221.705017089844,180.352996826172	-0.422209739685059,221.705017089844,183.57568359375	-0.422209739685059,241.843994140625,183.57568359375	0.695228219032288,241.843994140625,179.253479003906	0.695228219032288,221.705017089844,179.253479003906
4.31057548522949,239.457000732422,151.719360351562	4.31057548522949,221.579986572266,151.719360351562	5.35881042480469,221.579986572266,156.269592285156	5.35881042480469,239.457000732422,156.269592285156	-0.281930685043335,239.457000732422,152.77734375	-0.281930685043335,221.579986572266,152.77734375	0.76630425453186,221.579986572266,157.327575683594	0.76630425453186,239.457000732422,157.327575683594
2.88066625595093,228.039001464844,171.226837158203	2.88066625595093,241.992980957031,171.226837158203	-0.687906503677368,241.992980957031,173.860214233398	-0.687906503677368,228.039001464844,173.860214233398	5.53273010253906,228.039001464844,174.820724487305	5.53273010253906,241.992980957031,174.820724487305	1.96415722370148,241.992980957031,177.4541015625	1.96415722370148,228.039001464844,177.4541015625
3.02602577209473,233.792999267578,157.541000366211	3.02602577209473,242.053985595703,157.541000366211	5.53617715835571,242.053985595703,153.948760986328	5.53617715835571,233.792999267578,153.948760986328	-0.575747966766357,233.792999267578,155.024200439453	-0.575747966766357,242.053985595703,155.024200439453	1.93440353870392,242.053985595703,151.43196105957	1.93440353870392,233.792999267578,151.43196105957
9.79516220092773,230.256011962891,255.269836425781	9.79516220092773,225.561004638672,255.269836425781	0.70589542388916,225.561004638672,255.088668823242	0.70589542388916,230.256011962891,255.088668823242	9.88814640045166,230.256011962891,250.604721069336	9.88814640045166,225.561004638672,250.604721069336	0.798879623413086,225.561004638672,250.423553466797	0.798879623413086,230.256011962891,250.423553466797
5.04672718048096,227.674011230469,259.853851318359	5.04672718048096,221.619995117188,259.853851318359	6.65381669998169,221.619995117188,264.859680175781	6.65381669998169,227.674011230469,264.859680175781	0.291996002197266,227.674011230469,261.380310058594	0.291996002197266,221.619995117188,261.380310058594	1.899085521698,221.619995117188,266.386138916016	1.899085521698,227.674011230469,266.386138916016
6.77169895172119,227.973007202148,265.930847167969	6.77169895172119,222.557998657227,265.930847167969	1.00310349464417,222.557998657227,265.224884033203	1.00310349464417,227.973007202148,265.224884033203	7.39649677276611,227.973007202148,260.825469970703	7.39649677276611,222.557998657227,260.825469970703	1.62790131568909,222.557998657227,260.119506835938	1.62790131568909,227.973007202148,260.119506835938
9.47353172302246,225.602996826172,215.424926757812	9.47353172302246,230.243011474609,215.424926757812	2.29145240783691,230.243011474609,215.7705078125	2.29145240783691,225.602996826172,215.7705078125	9.69114017486572,225.602996826172,219.947418212891	9.69114017486572,230.243011474609,219.947418212891	2.50906085968018,230.243011474609,220.292999267578	2.50906085968018,225.602996826172,220.292999267578
8.30204963684082,222.256988525391,186.47428894043	8.30204963684082,226.324005126953,186.47428894043	2.48954057693481,226.324005126953,186.686050415039	2.48954057693481,222.256988525391,186.686050415039	8.45035743713379,222.256988525391,190.544998168945	8.45035743713379,226.324005126953,190.544998168945	2.63784885406494,226.324005126953,190.756759643555	2.63784885406494,222.256988525391,190.756759643555
6.95925188064575,221.606994628906,265.942321777344	6.95925188064575,227.098022460938,265.942321777344	7.48327255249023,227.098022460938,260.739501953125	7.48327255249023,221.606994628906,260.739501953125	2.60068130493164,221.606994628906,265.503356933594	2.60068130493164,227.098022460938,265.503356933594	3.12470197677612,227.098022460938,260.300537109375	3.12470197677612,221.606994628906,260.300537109375
9.85536956787109,226.384979248047,266.387054443359	9.85536956787109,221.574005126953,266.387054443359	3.12002277374268,221.574005126953,266.203735351562	3.12002277374268,226.384979248047,266.203735351562	9.98369884490967,226.384979248047,261.672424316406	9.98369884490967,221.574005126953,261.672424316406	3.24835205078125,221.574005126953,261.489105224609	3.24835205078125,226.384979248047,261.489105224609
9.74421119689941,226.886993408203,262.078918457031	9.74421119689941,221.585998535156,262.078918457031	9.90494441986084,221.585998535156,269.913879394531	9.90494441986084,226.886993408203,269.913879394531	3.79646968841553,226.886993408203,262.200927734375	3.79646968841553,221.585998535156,262.200927734375	3.95720291137695,221.585998535156,270.035888671875	3.95720291137695,226.886993408203,270.035888671875
6.50044822692871,222.570007324219,221.136245727539	6.50044822692871,227.755981445312,221.136245727539	10.1263599395752,227.755981445312,217.41096496582	10.1263599395752,222.570007324219,217.41096496582	3.1477484703064,222.570007324219,217.872970581055	3.1477484703064,227.755981445312,217.872970581055	6.77365970611572,227.755981445312,214.147689819336	6.77365970611572,222.570007324219,214.147689819336
8.2199878692627,222.335998535156,269.611541748047	8.2199878692627,227.427001953125,269.611541748047	8.40140533447266,227.427001953125,264.363922119141	8.40140533447266,222.335998535156,264.363922119141	4.06230354309082,222.335998535156,269.467803955078	4.06230354309082,227.427001953125,269.467803955078	4.24372100830078,227.427001953125,264.220184326172	4.24372100830078,222.335998535156,264.220184326172
