Id,Scenario Name,File Home,Merge Fixes,Parameter File,Time Limit,Num Vehicles,AC0 Flightplan,AC1 Flightplan,AC2 Flightplan,AC0 Param:DEF_WP_SPEED,AC1 Param:DEF_WP_SPEED,AC2 Param:DEF_WP_SPEED,Param:AL_1_ALERT_T
1,spacing1,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3,3,NA,5
2,spacing2,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3,3,NA,5
3,spacing3,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3,3,NA,5
4,spacing4,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3,3,NA,5
5,spacing5,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3,3,NA,8
6,spacing6,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3,3,NA,8
7,spacing7,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3,3,NA,8
8,spacing8,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3,3,NA,8
9,spacing9,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3,3,NA,10
10,spacing10,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3,3,NA,10
11,spacing11,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3,3,NA,10
12,spacing12,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3,3,NA,10
13,spacing13,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,5
14,spacing14,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,5
15,spacing15,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,5
16,spacing16,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,5
17,spacing17,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,8
18,spacing18,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,8
19,spacing19,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,8
20,spacing20,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,8
21,spacing21,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,10
22,spacing22,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,10
23,spacing23,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,10
24,spacing24,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,3.1,3,NA,10
25,spacing25,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,5,3,NA,5
26,spacing26,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,5,3,NA,5
27,spacing27,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,5,3,NA,5
28,spacing28,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,5,3,NA,5
29,spacing29,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,5,3,NA,8
30,spacing30,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,5,3,NA,8
31,spacing31,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,5,3,NA,8
32,spacing32,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,5,3,NA,8
33,spacing33,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,NA,5,3,NA,10
34,spacing34,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,NA,5,3,NA,10
35,spacing35,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,NA,5,3,NA,10
36,spacing36,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,2,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,NA,5,3,NA,10
37,spacing37,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,5
38,spacing38,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,5
39,spacing39,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,5
40,spacing40,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,5
41,spacing41,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,8
42,spacing42,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,8
43,spacing43,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,8
44,spacing44,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,8
45,spacing45,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,10
46,spacing46,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,10
47,spacing47,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,10
48,spacing48,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3,3,3,10
49,spacing49,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,5
50,spacing50,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,5
51,spacing51,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,5
52,spacing52,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,5
53,spacing53,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,8
54,spacing54,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,8
55,spacing55,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,8
56,spacing56,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,8
57,spacing57,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,10
58,spacing58,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,10
59,spacing59,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,10
60,spacing60,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,3.1,3,3,10
61,spacing61,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,5
62,spacing62,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,5
63,spacing63,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,5
64,spacing64,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,5
65,spacing65,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,8
66,spacing66,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,8
67,spacing67,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,8
68,spacing68,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,8
69,spacing69,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsA.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,10
70,spacing70,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsB.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,10
71,spacing71,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsC.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,10
72,spacing72,Python/TestRunner/scenarios/spacing_scenarios,merge_fixes.txt,merging_default.parm,200,3,vehicle0_waypointsD.txt,vehicle1_waypoints.txt,vehicle2_waypoints.txt,5,3,3,10
